अंगत: निजी
परबीडीयुं: लिफाफा
परभव: अन्य_जन्म
परवळ: परवल
परवा: देखभाल
परवानगी: अनुमति
परवानो: अनुमति_पत्र
परसेवो: पसीना
पराणे: जबरन
परायुं: पराया
परिघ: परिधि
परिचारिका: नौकरानी
परिणामे: फलतः
परिणामो: परिणाम
परिणीत: विवाहित
परिधान: कपड़े
परिबळ: परिबल
परिबळो: परिबल
परिमल: सुगंध
परिश्र्म: परिश्रम
परिस्थितिनुं: परिस्थिति_का
परिस्थितिनो: परिस्थिति_का
परु: मवाद
परोणो: अतिथि
परोववुं: पिरोना
पलटण: पलटन
पलटवुं: पलटना
पलटो: परिवर्तन
पलांठी: पालथी
पळ: पल
पळण: झंझट
पस्तावुं: पछतावा
पस्ती: रद्दी_कागज
पहाड: पहाड़
पहाणो: पत्थर
पहेरवुं: पहनना
पहेरवेश: पोशाक
पहेरो: पहरा
पहेल: पहल
पहेलवान: पहलवान
पहेला: पहले
पहेलां: पहले
पहेलुं: पहला
पहेलेथी_ज: पहले_से_ही
पहोंच: पहुंच
पहोंचवुं: पहुँचना
पहोंचाडवा: पहुँचाने
पहोंचो: कलाई
पहोंय्या: पहुँचे
पा: पाव
पांख: पंख
पांचम: पंचमी
पांचमो: पाँचवाँ
पांजरुं: पिंजरा
पांत्रीस: पैंतीस
पांसठ: पैंसठ
पांसळी: पसली
पाक: फसल
पाकका: फसल
पाकवुं: पकाना
पाका: पक्का
पाकुं: पका
पाके: पका_गया
पाघडी: रिश्वत
पाछला: पिछले
पाछलां: पिछले
पाछळ: पीछे
पाछा: वापस
पाछां: वापस
पाछुं: फिर
पाटलून: पतलून
पाटियुं: पटिया
पाठववुं: भेजना
पाडवुं: गिराना
पाडी: पाड़ी
पाडुं: पाड़ा
पाडो: पाड़ा
पाडोश: पड़ोस
पाडोशण: पड़ोसन
पाडोशी: पड़ोसी
पाणी: पानी
पाणीदार: तेज
पातळुं: पतली
पाथरणुं: कालीन
पान: पन्ना
पानखर: पतझड़
पानी: एड़ी
पानुं: पत्ता
पापड: पापड़
पायजामो: पायजामा
पायमाल: पैमाल
पायो: नींव
पारकुं: परकीय
पारखवुं: परखना
पारखुं: परीक्षण
पारघी: शिकारी
पारणुं: पारन
पारेवुं: कबूतर
पालखी: पालकी
पालववुं: पालन_करना
पाळवुं: पालन_करना
पाळियो: स्मारक_पत्थर
पासे: पास
पितराइ: चचेरा_भाई
पित्तळ: पीतल
पित्राइ: चचेरा_भाई
पिपूडी: पिपिहरी
पियर: मायका
पियु: प्रिय
पिस्ताळीस: पैंतालीस
पींखवुं: लूटना
पीगळवुं: पिघलाना
पीछुं: पंख
पीछेहठ: पीछे_हटना
पीछो: पीछा
पीटवुं: पीटना
पीठीका: पीठिक
पीडा: पीड़ा
पीणुं: पेय
पीप: पीपा
पीपळ: पीपल
पीपळो: पीपल
पीरसवुं: परोसना
पीळाश: पीलापन
पीळुं: पीला
पीवुं: पीना
पीसवुं: पीसना
पुनरुकित: पुनरुक्ति
पुनर्: पुनः
पुनर्लग्न: पुनर्विवाह
पुनित: पुनीत
पुरबहार: चरमोत्कर्ष_पर
पुरवठो: आपूर्ति
पुरवणी: पूरक
पुरवार: सिद्ध
पुरस्कर्ता: प्रवर्तक
पुराणुं: पुराना
पुरावो: गवाही
पुष्कळ: बहुतायत_से
पूंछडुं: पूँछ
पूंजो: गंदगी
पूछपरछ: पूछपरख
पूछवुं: पूछना
पूजय: पूज्य
पूजवुं: पूजना
पूजापो: पूजा_की_सामग्री
पूजारण: पुजारन
पूजारी: पुजारी
पूठ: पीठ
पूतळी: पुतली
पूत्री: पुत्री
पूरतां: पूरता
पूरतुं: पर्याप्त
पूरपाट: पूरी_रफ्तार_से
पूरवा: पूर्ति_करना
पूरुं: पूरा
पूरेपूरुं: भरपूर
पूर्वग्रह: पूर्वाग्रह
पूर्वापर: प्रासंगिक
पूर्वे: पहले
पूळो: पुआल
पेंडो: पेड़ा
पेंतरो: पैंतरा
पेटभरुं: आत्म_केन्द्रित
पेढी: कंपनी
पेढीओना: कंपनियों_का
पेढीओनी: कंपनियों_की
पेढीनो: कंपनी_का
पेढुं: मसूड़ा
पेला: वह
पेलि: वह
पेलु: यह
पेलु: यह
पैडुं: पहिया
पैसादार: पैसे_वाला
पैसो: पैसा
पोकळ: खोखला
पोकार: पुकार
पोचुं: नरम
पोठ: कारवां
पोढवुं: सोना
पोणुं: पौन
पोताना: अपनी
पोतानां: निज_के
पोतानी: अपनी
पोतानो: निजी
पोते: स्वतः
पोपचुं: पलक
पोपट: तोता
पोपडो: पपड़ी
पोलाद: इस्पात
पोलुं: खोखला
पोष: पौष
प्रकारना: प्रकार_के
प्रकारनो: प्रकार_का
प्रकाशवुं: प्रकाशित_करना
प्रक्रीया: प्रक्रिया
प्रगटवुं: प्रगट_होना
प्रच्छन्न: ढ़का_हुआ
प्रजळवुं: प्रज्वलित_करना
प्रणालिका: प्रणाली
प्रणालिकाओ: प्रणालिकाएँ
प्रणालिकागत: प्रणाली_के_अनुसार
प्रणालीका: परंपरा
प्रत: प्रति
प्रति: की_ओर
प्रत्ये: की_ओर
प्रबळ: प्रबल
प्रमत्त: उत्साहित
प्रमाणभूत: विश्वसनीय
प्रमाणे: के_अनुसार
प्रयोजक: आयोजक
प्रवाहनुं: प्रवाह_का
प्रवृत्तिना: प्रवृत्ति_का
प्रवेशक: प्राक्कथन
प्रसरवुं: फैलना
प्रसादी: प्रसाद
प्रसिध्ध: प्रसिद्ध
प्रीत: प्रीति
प्रेरवुं: प्रेरित_करना
फंगोळवुं: फेंकना
फंटावुं: दिशा_बदलना
फकरो: अनुच्छेद
फक्त: केवल
फजेती: अपमान
फटकडी: फिटकिरी
फटकवुं: भटकना
फटकारवुं: फटकारना
फटको: हानि
फटाकडो: पटाखा
फतेह: जीत
फफळतुं: उबलता_हुआ
फरक: अंतर
फरज: कर्तव्य
फरजियात: अनिवार्य
फरताराम: घुमक्कड़_आदमी
फरतुं: आसपास
फरवुं: गति_करना
फराळ: फलाहार
फरी: फिर
फरीथी: फिर_से
फलाणुं: फलाना
फळ: फल
फळदायक: फलदायी
फळवुं: फलना
फळाउ: फलने_वाला
फसावुं: फँसना
फांकडुं: प्रशंसा_के_योग्य
फांको: व्यर्थ_अभिमान
फांद: तोंद
फांफां: व्यर्थ_प्रयास
फांसीगर: जल्लाद
फांसो: फांस
फाकवुं: फांकना
फाकी: चूर्ण
फाको: फाँक
फागण: फागुन
फाचर: मजदूरी
फाजल: अधिशेष
फाटफूट: अनेकता
फाटवुं: फाड़ना
फाड: फाड़
फातडो: हिजड़ा
फानस: लालटेन
फायदाकारक: लाभकर
फायदो: लाभ
फारगती: तलाक
फाल: फसल
फालतुं: अनावश्यक
फालवुं: फूलना
फाळवणी: आवंटन
फाळियुं: पगड़ी
फावट: अनुकूलनशीलता
फिकर: चिंता
फिक्कुं: पीला
फिटकार: घृणा
फिलसूफ: दार्शनिक
फिलसूफी: दर्शन
फिळयुं: गली
फीण: फोम
फीणवुं: झाग
फीफुं: भूसी
फुगावाना: मुद्रास्फीति_का
फुगावानी: मुद्रास्फीति_की
फुगावालक्षी: मुद्रास्फीतिकारक
फुगावो: मुद्रास्फीति
फुत्कारवुं: फुफकार
फुदीनो: टकसाल
फुरसद: फुरसत
फुलेकुं: बारात
फुवारो: फव्वारा
फूंकवुं: फूंकना
फूग: ढालना
फूटवुं: फूटना
फूदुं: तितली
फूलववुं: फूलना
फूलवुं: फूलना
फेंकवुं: फेंकना
फेंटो: फेटा
फेंदवुं: खोजना
फेंसलो: फैसला
फेफसुं: फेफड़े
फेब्रुआरी: फरवरी
फेर: अंतर
फेर: अन्तर
फेरफारनुं: बदलाव_का
फेरफारनो: बदलाव_का
फेरफारो: बदलाव
फेरफारोनो: बदलावों_का
फेरी: बारी
फेरीयो: फेरीवाला
फेरो: फेरा
फेलावुं: फैलाना
फेलावो: प्रसार
फोई: बुआ
फोक: निरर्थक
फोज: सेना
फोडवुं: फोड़ना
फोतरी: भूसी
फोरुं: बूंद
फोर्म: फॉर्म
फोलवुं: छीलना
फोल्ली: फोड़ा
बंगडी: चूड़ी
बंदर: बंदरगाह
बंदूकडी: छोटी_बंदूक
बंदोबस्त: व्यवस्था
बंध: बंद
बंधबेसतुं: उपयुक्त
बंधारण: संविधान
बंधारणीय: संवैधानिक
बंधी: निषेध
बंने: दोनो
बंबाखानुं: अग्निशमन_स्टेशन
बंबावाळो: अग्निशामक
बंबो: दमकल
बंसरी: बांसुरी
बंसी: बांसुरी
बकरुं: बकरी
बकरो: बकरा
बकवुं: बकना
बखणाय: प्रसिद्ध
बखतर: कवच
बखियो: सिलाई
बखेडो: झगड़ा
बगडवुं: बिगाड़ना
बगाड: बर्बादी
बगाडवुं: बगाड़ना
बगासुं: जंभाई
बगीचो: बगीचा
बचकुं: काटना
बचपण: बचपन
बचवुं: बचना
बच्चुं: बच्चा
बजार: बाजार
बजावी: निभाई
बटाका: आलू
बटाको: आलू
बटाणा: मटर
बडबडवुं: बड़बड़ाना
बडाई: बड़ाई
बडाश: ब।दाई
बढवुं: डाँटना
बणगुं: आत्मप्रशंसा
बतक: बतख
बतावती: दिखाती
बताववा: दिखाने
बताववी: दिखाई
बताववुं: दिखाना
बतावशे: दिखाएगा
बतावाता: दिखाया_जाता
बतावाती: दिखाई_जाती
बतावाय: बताया_जाए
बतावाया: दिखाए_गए
बतावी: बताई
बतावे: बताती
बत्ती: दीपक
बत्रीस: बत्तीस
बदन: शरीर
बदनक्षी: मानहानि
बदबु: दुर्गंध
बदलाय: बदला_जाय_तो
बदलो: बदला
बदाम: बादाम
बदी: भ्रष्टाचार
बधा: सारे
बधां: सब
बधी: सभी
बधुं: सब
बधे: सर्वत्र
बनवानी: बनने_वाली
बनवुं: बनना
बनाव: घटना
बनाववानी: बनाने_की
बनावाय: बनाया_जाए
बनावी: बनाकर
बनावे: बनाये
बनावेल: बनाया_हुआ
बनेलुं: बना
बनेवी: बहनोई
बन्ने: दोनों
बन्युं: बना
बपोर: दोपहर
बफारो: उमस_भरा_मौसम
बबूचक: बेवकूफ
बमणी: दूगुनी
बमणुं: दोगुना
बयवुं: बचना
बयान: कथन
बरकत: लाभ
बरोबर: बराबर
बरोळ: प्लीहा
बलके: बल्कि
बळ: बल
बळतण: ईंधन
बळद: बैल
बळवाखोर: विद्रोही
बळवुं: जलाना
बळवो: विद्रोह
बळात्कार: बलात्कार
बळेव: त्यौहार
बहादूर: बहादुर
बहानुं: बहाना
बहार: बाहर
बहु: कई
बहु_सरस: बहुत_अच्छा
बहुंवचन: बहुवचन
बहुमति: बहुमत
बहुरूपी: बहुरुपिया
बहेन: बहन
बहेनपणी: सहेली
बहेराश: बहरापन
बहेरुं: बहरा
बा: माँ
बा\-बाप: माँ\-बाप
बांकडो: बेंच
बांधवा: बांधने_के_लिए
बांधवुं: बनाना
बांधी: बंधी
बांय: बांह
बांयधरी: सुरक्षा
बाई: नौकरानी
बाकीनी: बाकी_का
बाखडवुं: झगड़ा_करना
बाघुं: मूर्खतापूर्ण
बाजरी: बाजरा
बाझवुं: झगड़ा_करना
बाटली: बोतल
बातल: रद्द
बापडुं: अत्यंत_असहाय
बाफवुं: भाप_से_पकाना
बाबतो: बाबत
बाबतोनी: बाबतों_की
बा-बाप: माँ-बाप
बार: बारह
बारणुं: दरवाजा
बारमुं: द्वादशी
बारमो: बारहवाँ
बाराक्षरी: बारहखड़ी
बाराखडी: बारहखड़ी
बारी: खिड़की
बारुं: प्रवेश\-द्वार
बारोबार: सीधे
बाळक: बालक
बाळपण: बालपन
बाळपोथी: बालपोथी
बाळलग्न: बालविवाह
बाळवुं: जलाना
बावीस: बाइस
बिचारुं: बेचारा
बिछानुं: बिछौना
बिनअनुभवी: अनुभवहीन
बिनजरूरी: अनावश्यक
बिनशरती: बिना_शर्त
बिलाडी: बिल्ली
बिलाडो: बिल्ला
बिल्लो: बिल्ला
बिळयुं: मजबूत
बिवडाववुं: डराना
बिहामणुं: भयंकर
बी: बीज
बीक: डर
बीचारुं: बेचारा
बीछाववुं: बिछाना
बीज: दूज
बीजा: दूसरे
बीजानुं: दूसरे_का
बीजी: दूसरी
बीजु: दूसरा
बीजुं: और
बीना: तथ्य
बीवुं: डरना
बुंद: बूंद
बुडथल: मूर्खतापूर्ण
बुडवुं: डूबना
बुध्धि: बुद्धि
बुरखो: मुखौटा
बे: दो
बेउ: दोनों
बेकी: सम_संख्या
बेचेन: बेचैन
बेचेनी: बेचैनी
बेट: द्वीप
बेटो: बेटा
बेठक: आसन
बेठाडुं: निष्क्रिय
बेडी: बंधन
बेडोळ: बेडौल
बेढंगुं: बेढंग
बेताळीस: बयालीस
बेपरवाह: लापरवाह
बेधारुं: दोधारी
बेध्यान: असावधान
बेनमून: अद्वितीय
बेपगुं: दोपाया
बेबाकळुं: ब्याकुल
बेभान: बेहोश
बेलडी: जोड़ी
बेशुध्ध: बेसुध
बेशुमार: असीम
बेस: बैठो
बेसवुं: बैठना
बोखुं: दन्तहीन
बोगदुं: सुरंग
बोची: गर्दन
बोज: बोझ
बोडवुं: सिर_मुड़ाना
बोडुं: मुंडित
बोणी: बहनी
बोर: बेर
बोलवुं: बोलना
बोलाववुं: बुलाना
बोळवुं: डुबाना
बोवुं: बोना
ब्याशी: बयासी
भंडारो: भण्डारा
भंडोळ: निधि
भंडोऴ: पूंजी
भंडोळो: पूंजियाँ
भकत: भक्त
भकताणी: भक्तिन
भकित: भक्ति
भगताणी: भगतिन
भगवुं: भगवा
भगिनी: बहन
भचडवुं: भक्षण_करना
भजववुं: भजना
भजवुं: भजना
भजवे: भूमिका_करना
भजियुं: भजिया
भटकवुं: भटकना
भटकाई: टकराई
भटकावुं: टकराना
भटूरियुं: पिल्ला
भठियारखानुं: बेकरी
भड: बहादुर
भडवीर: बहादुर
भडाको: भड़ाका
भणतर: शिक्षा
भणवुं: अध्ययन_करना
भणेला: शिक्षित
भत्रीजी: भतीजी
भद्र: शुभ
भभूकवुं: भभकना
भभूत: राख
भभूती: राख
भमरी: ततैया
भमरो: ततैया
भमवुं: भ्रमण_करना
भम्मर: भौं
भरडवुं: पीसना
भरत: कढ़ाई
भरतगूंथण: कढ़ाई
भरती: ज्वार
भरभांखळुं: भोर
भरम: भ्रम
भरमावुं: भरमाना
भरववुं: लटकाना
भरवाड: चरवाहा
भरवुं: भरना
भरवो: भरना
भरोसापात्र: विश्वासपात्र
भरोसो: भरोसा
भलामण: सिफारिश
भलुं: अच्छा
भळतुं: समान
भव: जीवन
भवाडो: असफलता
भवुं: भौं
भवोभव: हर_जन्म_में
भांगवुं: भंग_करना
भाईचारो: भाईचारा
भाईभांडु: भाई_बहन
भाग: भाग
भागनी: हिस्से_का
भागवुं: भागना
भागाकार: भाग_की_क्रिया
भागीए: भागाकार_करें
भाग्ये: शायद_ही_कभी
भाग्ये_ज: मुश्किल_से
भाडानुं: किराए_का
भाडुं: भाडा
भाणियो: भानजा
भाणी: भानजी
भाणेज: भानजा
भादरवो: भादो
भारण: भार
भारतना: भारत_के
भारे: भारी
भारो: बोझा
भावनीति: मूल्य_नीति
भाववधारानी: भाव-वृद्धि_की
भावसपाटीए: भाव_स्तर_पर
भाविक: भावुक
भींजववुं: भिगोना
भींत: भित्ति
भीडी: बारीक
भीनाश: नमी
भूंजवुं: भूजना
भूंड: सुअर
भूखरुं: भूरा
भूख्युं: भूखा
भूगोळ: भूगोल
भूतकाळनो: भूत_काल_का
भूरुं: नीला
भूलकणुं: भुलक्कड़
भूलवुं: भूलना
भूलुं: भुला_हुआ
भेगी: इकठ्ठी
भेजुं: मस्तिष्क
भेटवुं: भेंटना
भेटो: भेट
भेदवुं: भेदना
भोंय: भूमि
भोग: बलि
भोगवटो: स्वामित्व
भोगववुं: भोगना
भोट: मूर्खतापूर्ण
भोमयो: मार्गदर्शन
भोलुं: वानर
भोळुं: भोला
मंकोडो: मकोड़ा
मंगळवार: मंगलवार
मंगळसूत्र: मंगलसूत्र
मंगळाचरण: मंगलाचरण
मंडवुं: आरम्भ_करना
मंतव्य: राय
मंदवाड: बीमारी
मकाई: मकई
मकाननी: मकान_की
मग: मूँग
मगज: मस्तिष्क
मगतरुं: मच्चर
मगफळी: मूंगफली
मचडवुं: मोड़ना
मछवो: नाव
मजजा: अस्थिमज्जा
मजामां: मजे_में
मजूर: मजदूर
मजूरी: मजदूरी
मजूस: मंजूसा
मठो: मट्ठा
मडदुं: शव
मढवुं: मड़ना
मणियार: चूड़ीहार
मतदार: मतदाता
मतलबियुं: स्वार्थी
मतुं: हस्ताक्षर
मतोनुं: मतों_का
मथवुं: मथना
मथामण: कड़ी_मेहनत
मददरूप: सहायता_रूप
मध: मधु
मधरात: मध्यरात्रि
मनमूकीने: जमकर
मनसूबो: मंसूबा
मनाई: मनाही
मनामणुं: मनावन
मनाववुं: मनाना
मनीषा: इच्छा
मने: मुझको
मने: मुझे
मफत: मुफ्त
ममळाववुं: चबाना
मरकवुं: मुस्काना
मरघी: मुर्गी
मरजियात: स्वैच्छिक
मरजी: इच्छा
मरडो: पेचिस
मरद: पुरुष
मरवुं: मरना
मरवो: आम_का_टिकोरा
मरसियो: मरसिया
मरामत: मरम्मत
मरी: काली_मिर्ची
मरीमसालो: मसाले
मर्यादा: सीमा
मर्यादाओ: मर्यादाएँ
मर्यादित: सीमित
मलकवुं: मुस्काना
मलम: मलहम
मळतर: लाभ
मळता: मिलता
मळवुं: मिलना
मळशे: मिलेगा
मळी: मिल
मळे: मिले
मळेल: मिली_हुयी
मसालो: मसाला
मसो: मस्सा
मस्या: पहेली
महत्त्वना: महत्त्व_का
महत्त्वनी: महत्वपूर्ण
महत्त्वनो: महत्वपूर्ण
महाराणी: महारानी
महालय: महल
महावरो: अभ्यास
महि: मास
महिनो: महीना
महुवर: बीन
महेंक: महक
महेच्छा: महत्वाकांक्षा
महेती: अध्यापिका
महेतो: अध्यापक
महेनताणा: मज़दूरी
महेनताणुं: पारिश्रमिक
महेमान: अतिथि
महेल: महल
मा: माँ
मांजवुं: मांजना
मांडवुं: आरम्भ_करना
मांडी: हिसाब_को_ठीक_लिख_कर
मांदुं: बीमार
माखण: मक्खन
माग: मांग
मागवुं: चाहना
माछण: मछुआरन
माछली: मछली
माछी: मछुआरा
माजी: माताजी
माटे: के_लिए
माटेनो: के_लिए
माठा: बुरी
माठुं: गलत
माडी: माँ
माणस: मनुष्य
माणसाई: मानवता
माणसो: लोग
माणेक: माणक
माथुं: सिर
मानपान: सम्मान
मानव_संपत्तिनुं: मानव_संपत्ति_का
मानवुं: मानना
मानीतुं: पसंदीदा
मानुं: मानता
मापनां: नाप_का
मापवा: नापने_के_लिए
मापवी: नापनी_चाहिए
मामो: मामा
मारफत: द्वारा
मारफते: द्वारा
मारवुं: मारना
मारा: मेरा
मारी: मेरी
मारे: मुझे
मालनुं: माल_का
मालमता: संपत्ति
मालमिलकत: संपत्ति
मालिकी: स्वामित्व
मालिकीना: स्वामित्वका
मालिकीनी: स्वामित्वकी
मालिको: मालिक
माळा: माला
माळियुं: मंजिल
माळी: माली
माळो: घोसला
मावजत: देखभाल
मावठुं: मवाठा
मावतर: माता_पिता
मावो: मावा
माशी: मौसी
मासी: मौसी
मासो: मौसा
माहिती: ज्ञान
मिति: तिथि
मिलकत: संपत्ति
मिलकतनी: संपत्ति_की
मिलकतनो: मिल्कियत_का
मिलकतो: धन-सम्पत्ति
मिलकतोनी: माल_मिलकत_की
मिलकतोनो: मिलकतों_का
मिलाववुं: मिलाना
मीठाई: मिठाई
मीठाश: मिठास
मीठुं: मिठा
मीठो_लीमडो: कढ़ी_पत्ता
मीण: मोम
मीणबत्ती: मोमबत्ती
मुकत: मुक्त
मुकद्दमो: मुकदमा
मुकाबलो: तुलना
मुकित: मुक्ति
मुखी: मुखिया
मुख्यत्वे: प्रमुखतः
मुगट: मुकुट
मुजब: के_अनुसार
मुजबना: अनुसार_का
मुजबनी: अनुसार_की
मुतरडी: मूत्रालय
मुदत: मुद्दत
मुदतना: मुदत_का
मुदतनी: मुदत_की
मुद्दल: मूलधन
मुद्दो: मुद्दा
मुद्रा: मुहर
मुफलिस: दरिद्र
मुरघी: मुर्गी
मुरब्बी: बुजुर्ग
मुरब्बो: मुरब्बा
मुलक: मुल्क
मुलतवी: स्थगित
मुश्केल: कठिन
मुश्केली: कठिनाई
मुश्केली: मुश्किल
मुसाफर: यात्री
मुसाफरी: यात्रा
मूंगुं: गूँगा
मूंझवण: बेचैनी
मूंडवुं: मूड़ना
मूकनार: रखनेवाला
मूकवी: रखनी
मूकवो: रखना
मूकी: रखी
मूकीए: रखिए
मूडी: निवेश
मूडीनियमन: निवेश_नियमन
मूडीनी: पूंजी_की
मूडीनुं: पूंजी_का
मूडीमाळखुं: पूंजी_ढाँचा
मूतर: मूत्र
मूतरवुं: मूतना
मूरख: मूर्ख
मूलववुं: मोलभाव
मूळ: मूल
मूळकिंमत: मूल_कीमत
मूळाक्षर: मूलाक्षर
मूळो: मूली
मृत्युनी: मृत्यु_की
में: मैं
में: मैंने
मेदान: मैदान
मेना: मैना
मेल: मैल
मेलुं: मैला
मेळ: मेल
मेळवण: मिश्रण
मेळववा: मिलाने_के_लिए
मेऴववा: मिलाने_के_लिए
मेळववी: मिलानी
मेळववुं: मिलाना
मेऴव्या: मिलाने_के_बाद
मेळाप: मिलाप
मेळावडो: सम्मेलन
मेळो: मेला
मों: मुंह
मोंघवारी: मंहगाई_भत्ता
मोंघुं: महंगा
मोंधवारी: महंगाई
मोंधी: महँगी
मोकलवुं: भेजना
मोकली: भेजा
मोको: मौका
मोगरो: मोगरा
मोघा: महंगा
मोजमजा: मौजमस्ती
मोजशोख: मौज
मोटी: बड़ी
मोटुं: बड़ा
मोटे_भागे: प्राय
मोटेभागे: प्रायः
मोटो: बड़ा
मोडुं: देर
मोढामोढ: आमने_सामने
मोढुं: मुंह
मोत: मृत्यु
मोतियो: मोतियाबिन्द
मोरचो: मोर्चा
मोरली: मुरली
मोरस: चीनी
मोरी: नाली
मोल: खड़ी_फसल
मोळुं: अस्वाद
मोसम: मौसम
मौलीक: मौलिक
यादी: सूची
युकित: युक्ति
युध्ध: युद्ध
योगानुयोग: संयोग_से
योजक: आयोजक
योजवुं: योजना_बनाना
योजायुं: आयोजित_हुआ
योजायो: आयोजित
रंगवुं: रंगना
रकत: रक्त
रकमो: राशि
रखडे_छे: भटकते_हैं
रखात: रखैल
रचवुं: रचना
रजओमां: छुट्टियों_में
रजपूत: राजपूत
रजा: छुट्टी
रजू: प्रस्तुत
रजूआत_न: प्रस्तुति
रटवुं: रटना
रडवुं: रोना
रडारोळ: रोना
रणछोड: श्रीकृष्ण
रतांधळुं: रतौंधी
रताळुं: रतालु
रताश: लाली
रबारी: चरवाहा
रमकडां: खिलौना
रविवारे: रविवार_को
रवो: रवा
रस: रूचि
रसादार: रसदार
रसायण: रसायन
रसोइण: रसोइन
रसोइयो: रसोइया
रसोडुं: भोजनालय
रस्तो: रास्ता
रही: रह_जाए
रहेठाण: निवास
रहेणीकरणी: रहन_सहन
रहेल: रहा_हुआ
रहेला: रहा_हुआ
रहेली: रही_हुयी
रहेलो: रहा_हुआ
रहेवुं: रहना
रह्या: रहे
रह्यां: रहे
रह्यो: रहा
रांधवुं: भोजन_पकाना
राखडी: रक्षा_बंधन
राखनार: रखनेवाले
राखवुं: रखना
राखे: रखेगा
राजकारण: राजनीति
राजकीय: राजनैतिक
राजकुंवरी: राजकुमारी
राजगादी: राजगद्दी
राजय: राज्य
राजरमत: राजनय
रातदिवस: रातदिन
रातुं: लाल
रात्रे: रात_में
रामराजय: रामराज्य
रामी: माली
रासायणिक: रासायनिक
राहदारी: राहगिरी
राहबर: मार्गदर्शक
रींछ: भालू
रीझववुं: खुश_करना
रीत: रीति
रीतभात: चालढाल
रीते: ढंग_से
रुचवुं: पसंद_करना
रुपियो: रुपया
रू: रूई
रूंधवुं: रोकना
रूठवुं: रूठना
रूढिचुस्तपणाना: रूढि_वादीता_सहित_क
रूपाळुं: सुंदर
रूपिया: रूपया
रूपियो: रुपया
रूपुं: चांदी
रृपिया: रूपए
रेसो: रेशा
रोकड: नगद
रोकडीयुं: रोकड़िया
रोकनार: पैसा_रोकनेवाला
रोकवानी: रोकने_की
रोकवुं: रोकना
रोकाण: देरी
रोकाणकार: पैसा_रोकने_वाला
रोकाणो: पैस_अटका
रोकाणोनुं: पैसे_रोकने_का
रोकायेलां: रुके_हुए_पैसे
रोकाववुं: ठहरना
रोकेली: रुकी_हुयी
रोगियुं: रोगी
रोजनीशी: दैनिन्दिनी
रोजबरोज: प्रतिदिन
रोजिंदा: दैनिक
रोजी: आजीविका
रोटली: रोटी
रोनक: सौंदर्य
रोपवुं: रोपना
रोवुं: रोना
लंगडुं: लंगड़ा
लंगोटीयुं: लंगोटिया
लंबचोरस: आयताकार
लई: ले_कर
लईए: ले
लईशुं: लेंगे
लकवो: लकवा
लक्षणिकताओ: लाक्षणिकताएं
लक्षणो: लक्षण
लखवानी: लिखने_की
लखवुं: लिखना
लखाण: लिखा_हुआ
लखावट: लिखावट
लगता: संबधित
लगन: विवाह
लगी: तक
लगोलग: लगभग
लग्न: विवाह
लघुमती: अल्पमत
लचकवुं: लचकना
लजजा: लज्जा
लजामणी: लाजवन्ती
लजाववुं: लजवाना
लटकवुं: लटकना
लडत: लड़ाई
लडवुं: लड़ना
लपेटवुं: लपेटना
लप्पड: थप्पड़
ललकारवुं: ललकारना
ललचावुं: ललचाना
ललना: सुन्दर_स्त्री
लसण: लहसुन
लसरको: खरोंच
लहावो: लहाव
लहेर: लहर
लहेरी: हर्षित
लांबा: लम्बा
लांबुं: लंबा
लांबो: लम्बा
लाकडी: लकड़ी
लाकडुं: लकड़ी
लाखना: लाख_के
लाखनो: लाख_का
लागवुं: लगना
लागे: लगता_है
लाडकवायुं: लाडला
लाडु: लड्डू
लाद: लीद
लादवुं: लादना
लाधवुं: प्राप्त_करना
लापट: तमाचा
लापरवा: लापरवाह
लालचुं: लालची
लालाश: लाली
लाववुं: लाना
लावीए: लएँ
लाव्यो: लाया
लिंबु: नींबू
लिंबुडी: नींबू_का_वृक्ष
लिंबोळी: निम्बोली
लिलाम: नीलाम
लिवरेजना: लिवरेज_की
लींडीं: लेंड़ी
लींपण: लीपना
लींपवुं: लीपना
लीटीनी: रेखा_की
लीधां: लिया
लीधां_हशे: लिए_होंगे
लीधो: लिया
लीमडी: नीम_का_वृक्ष
लीमडो: नीम_का_वृक्ष
लीलम: नीलम
लीलाश: हरियाली
लीलीछम: हरीभरी
लीलुं: हरा
लुच्चाई: धूर्तता
लुच्चुं: धूर्त
लुटारु: लुटेरा
लूखुं: सूखी
लूटवुं: लूटना
लूण: नमक
लूणो: नमकीन
लूलुं: लूला
ले_छे: लेता_है
लेखुं: खाते
लेखे: हिसाब_से
लेणदार: लेनदार
लेणदारो: लेनदार
लेणदेण: लेनदेन
लेपवुं: लेपन_करना
लेबास: लिबास
लेवडदेवड: लेन_देन
लेवानो: लेने_का
लेवाय: ले_सकें
लेवी: लेना
लेवुं: लेना
लेवो: लेना
लोक: लोग
लोको: लोग
लोकोकित: लोकोक्ति
लोखंड: लोहा
लोट: आटा
लोटवुं: लोटना
लोढुं: लोहा
लोन: कर्ज
लोपवुं: छिपाना
लोही: लहू
लोहीउकाळो: झगड़ा
लोहीयाळ: खूनी
लोहीलुहाण: लहूलुहान
वंटोळ: भंवर
वंटोळीयो: भंवर
वंदो: तिलचट्ठा
वकतव्य: वक्तव्य
वकता: वक्ता
वकरवुं: बिगड़ना
वकरो: बिक्री
वकीलातनामुं: वकालतनामा
वखत: समय
वखतना: समय_के
वखते: समये
वखतोवखत: प्रायः
